"SPECIES","SITE","YEAR","MONTH","DAY","COUNT"
"Aglais io","ESBMS.12","2003","4","4","0"
"Aglais io","ESBMS.12","2003","4","7","0"
"Aglais io","ESBMS.12","2003","4","13","0"
"Aglais io","ESBMS.12","2003","4","23","0"
"Aglais io","ESBMS.12","2003","5","2","0"
"Aglais io","ESBMS.12","2003","5","10","0"
"Aglais io","ESBMS.12","2003","5","23","0"
"Aglais io","ESBMS.12","2003","5","29","0"
"Aglais io","ESBMS.12","2003","6","4","0"
"Aglais io","ESBMS.12","2003","6","10","0"
"Aglais io","ESBMS.12","2003","6","19","0"
"Aglais io","ESBMS.12","2003","6","21","0"
"Aglais io","ESBMS.12","2003","7","2","9"
"Aglais io","ESBMS.12","2003","7","6","18"
"Aglais io","ESBMS.12","2003","7","16","38"
"Aglais io","ESBMS.12","2003","7","23","39"
"Aglais io","ESBMS.12","2003","7","27","51"
"Aglais io","ESBMS.12","2003","8","4","42"
"Aglais io","ESBMS.12","2003","8","18","11"
"Aglais io","ESBMS.12","2003","8","25","5"
"Aglais io","ESBMS.12","2003","9","10","0"
"Aglais io","ESBMS.12","2003","9","16","0"
"Aglais io","ESBMS.12","2003","9","26","0"
"Aglais io","ESBMS.28","2003","4","4","0"
"Aglais io","ESBMS.28","2003","4","6","0"
"Aglais io","ESBMS.28","2003","4","13","0"
"Aglais io","ESBMS.28","2003","4","25","0"
"Aglais io","ESBMS.28","2003","4","27","0"
"Aglais io","ESBMS.28","2003","5","3","0"
"Aglais io","ESBMS.28","2003","5","23","0"
"Aglais io","ESBMS.28","2003","5","29","0"
"Aglais io","ESBMS.28","2003","6","4","0"
"Aglais io","ESBMS.28","2003","6","12","0"
"Aglais io","ESBMS.28","2003","6","14","0"
"Aglais io","ESBMS.28","2003","6","21","0"
"Aglais io","ESBMS.28","2003","7","11","23"
"Aglais io","ESBMS.28","2003","7","18","166"
"Aglais io","ESBMS.28","2003","7","27","736"
"Aglais io","ESBMS.28","2003","8","2","658"
"Aglais io","ESBMS.28","2003","8","9","406"
"Aglais io","ESBMS.28","2003","8","20","94"
"Aglais io","ESBMS.28","2003","8","27","23"
"Aglais io","ESBMS.28","2003","9","10","3"
"Aglais io","ESBMS.28","2003","9","19","0"
"Aglais io","ESBMS.28","2003","9","26","0"
"Aglais io","ESBMS.55","2003","4","4","0"
"Aglais io","ESBMS.55","2003","4","10","0"
"Aglais io","ESBMS.55","2003","4","23","0"
"Aglais io","ESBMS.55","2003","5","2","0"
"Aglais io","ESBMS.55","2003","5","9","0"
"Aglais io","ESBMS.55","2003","5","14","0"
"Aglais io","ESBMS.55","2003","5","23","0"
"Aglais io","ESBMS.55","2003","5","30","0"
"Aglais io","ESBMS.55","2003","6","4","0"
"Aglais io","ESBMS.55","2003","6","9","0"
"Aglais io","ESBMS.55","2003","6","19","0"
"Aglais io","ESBMS.55","2003","6","22","0"
"Aglais io","ESBMS.55","2003","7","1","0"
"Aglais io","ESBMS.55","2003","7","7","0"
"Aglais io","ESBMS.55","2003","7","16","0"
"Aglais io","ESBMS.55","2003","7","19","1"
"Aglais io","ESBMS.55","2003","8","1","4"
"Aglais io","ESBMS.55","2003","8","7","6"
"Aglais io","ESBMS.55","2003","8","12","10"
"Aglais io","ESBMS.55","2003","8","18","9"
"Aglais io","ESBMS.55","2003","8","26","3"
"Aglais io","ESBMS.55","2003","9","5","0"
"Aglais io","ESBMS.55","2003","9","10","0"
"Aglais io","ESBMS.55","2003","9","17","0"
"Aglais io","ESBMS.55","2003","9","25","1"
"Aglais io","ESBMS.72","2003","4","6","0"
"Aglais io","ESBMS.72","2003","4","13","0"
"Aglais io","ESBMS.72","2003","4","19","0"
"Aglais io","ESBMS.72","2003","4","27","0"
"Aglais io","ESBMS.72","2003","5","3","0"
"Aglais io","ESBMS.72","2003","5","15","0"
"Aglais io","ESBMS.72","2003","5","18","0"
"Aglais io","ESBMS.72","2003","5","28","0"
"Aglais io","ESBMS.72","2003","6","1","0"
"Aglais io","ESBMS.72","2003","6","11","0"
"Aglais io","ESBMS.72","2003","6","16","0"
"Aglais io","ESBMS.72","2003","6","23","0"
"Aglais io","ESBMS.72","2003","7","1","0"
"Aglais io","ESBMS.72","2003","7","7","4"
"Aglais io","ESBMS.72","2003","7","13","11"
"Aglais io","ESBMS.72","2003","7","20","45"
"Aglais io","ESBMS.72","2003","7","30","40"
"Aglais io","ESBMS.72","2003","8","5","44"
"Aglais io","ESBMS.72","2003","8","11","49"
"Aglais io","ESBMS.72","2003","8","26","23"
"Aglais io","ESBMS.72","2003","9","5","0"
"Aglais io","ESBMS.72","2003","9","10","0"
"Aglais io","ESBMS.72","2003","9","13","1"
"Aglais io","ESBMS.72","2003","9","21","0"
"Aglais io","NLBMS.101","2003","4","16","0"
"Aglais io","NLBMS.101","2003","4","23","0"
"Aglais io","NLBMS.101","2003","5","7","0"
"Aglais io","NLBMS.101","2003","5","16","0"
"Aglais io","NLBMS.101","2003","5","28","0"
"Aglais io","NLBMS.101","2003","6","4","0"
"Aglais io","NLBMS.101","2003","6","11","0"
"Aglais io","NLBMS.101","2003","6","17","0"
"Aglais io","NLBMS.101","2003","6","25","0"
"Aglais io","NLBMS.101","2003","7","9","147"
"Aglais io","NLBMS.101","2003","7","14","154"
"Aglais io","NLBMS.101","2003","7","21","189"
"Aglais io","NLBMS.101","2003","7","31","68"
"Aglais io","NLBMS.101","2003","8","6","11"
"Aglais io","NLBMS.101","2003","8","13","0"
"Aglais io","NLBMS.101","2003","8","20","0"
"Aglais io","NLBMS.101","2003","8","27","0"
"Aglais io","NLBMS.101","2003","9","5","0"
"Aglais io","NLBMS.101","2003","9","14","0"
"Aglais io","NLBMS.101","2003","9","16","0"
"Aglais io","NLBMS.101","2003","9","25","0"
"Aglais io","NLBMS.1019","2003","4","17","0"
"Aglais io","NLBMS.1019","2003","4","21","0"
"Aglais io","NLBMS.1019","2003","5","4","0"
"Aglais io","NLBMS.1019","2003","5","8","0"
"Aglais io","NLBMS.1019","2003","5","16","0"
"Aglais io","NLBMS.1019","2003","5","29","0"
"Aglais io","NLBMS.1019","2003","6","7","0"
"Aglais io","NLBMS.1019","2003","6","11","0"
"Aglais io","NLBMS.1019","2003","6","18","0"
"Aglais io","NLBMS.1019","2003","6","24","0"
"Aglais io","NLBMS.1019","2003","7","9","0"
"Aglais io","NLBMS.1019","2003","7","16","0"
"Aglais io","NLBMS.1019","2003","7","26","0"
"Aglais io","NLBMS.1019","2003","8","3","0"
"Aglais io","NLBMS.1019","2003","8","5","0"
"Aglais io","NLBMS.1019","2003","8","12","0"
"Aglais io","NLBMS.1019","2003","8","20","0"
"Aglais io","NLBMS.1019","2003","8","31","0"
"Aglais io","NLBMS.1019","2003","9","5","0"
"Aglais io","NLBMS.1019","2003","9","11","0"
"Aglais io","NLBMS.1019","2003","9","19","1"
"Aglais io","NLBMS.1019","2003","9","27","0"
"Aglais io","NLBMS.1023","2003","4","21","0"
"Aglais io","NLBMS.1023","2003","5","4","0"
"Aglais io","NLBMS.1023","2003","5","10","0"
"Aglais io","NLBMS.1023","2003","5","25","0"
"Aglais io","NLBMS.1023","2003","6","9","0"
"Aglais io","NLBMS.1023","2003","6","22","0"
"Aglais io","NLBMS.1023","2003","7","6","0"
"Aglais io","NLBMS.1023","2003","7","19","1"
"Aglais io","NLBMS.1023","2003","8","23","0"
"Aglais io","NLBMS.1023","2003","8","31","0"
"Aglais io","NLBMS.1026","2003","4","13","0"
"Aglais io","NLBMS.1026","2003","4","18","0"
"Aglais io","NLBMS.1026","2003","4","24","0"
"Aglais io","NLBMS.1026","2003","5","3","0"
"Aglais io","NLBMS.1026","2003","5","8","0"
"Aglais io","NLBMS.1026","2003","5","18","0"
"Aglais io","NLBMS.1026","2003","5","30","0"
"Aglais io","NLBMS.1026","2003","6","5","0"
"Aglais io","NLBMS.1026","2003","6","14","0"
"Aglais io","NLBMS.1026","2003","6","19","0"
"Aglais io","NLBMS.1026","2003","6","28","15"
"Aglais io","NLBMS.1026","2003","7","5","69"
"Aglais io","NLBMS.1026","2003","7","9","116"
"Aglais io","NLBMS.1026","2003","7","16","178"
"Aglais io","NLBMS.1026","2003","7","26","30"
"Aglais io","NLBMS.1026","2003","8","2","15"
"Aglais io","NLBMS.1026","2003","8","9","0"
"Aglais io","NLBMS.1026","2003","8","16","0"
"Aglais io","NLBMS.1026","2003","8","22","0"
"Aglais io","NLBMS.1026","2003","8","27","0"
"Aglais io","NLBMS.1026","2003","9","6","0"
"Aglais io","NLBMS.1026","2003","9","11","0"
"Aglais io","NLBMS.1026","2003","9","19","0"
"Aglais io","NLBMS.1029","2003","4","16","0"
"Aglais io","NLBMS.1029","2003","5","7","0"
"Aglais io","NLBMS.1029","2003","5","28","0"
"Aglais io","NLBMS.1029","2003","6","4","0"
"Aglais io","NLBMS.1029","2003","6","11","0"
"Aglais io","NLBMS.1029","2003","6","27","0"
"Aglais io","NLBMS.1029","2003","7","13","226"
"Aglais io","NLBMS.1029","2003","7","23","136"
"Aglais io","NLBMS.1029","2003","7","29","79"
"Aglais io","NLBMS.1029","2003","8","8","27"
"Aglais io","NLBMS.1029","2003","8","13","0"
"Aglais io","NLBMS.1029","2003","8","24","0"
"Aglais io","NLBMS.1029","2003","8","27","0"
"Aglais io","NLBMS.1029","2003","9","4","0"
"Aglais io","NLBMS.1029","2003","9","14","0"
"Aglais io","NLBMS.1032","2003","4","12","0"
"Aglais io","NLBMS.1032","2003","4","19","0"
"Aglais io","NLBMS.1032","2003","4","25","0"
"Aglais io","NLBMS.1032","2003","5","4","0"
"Aglais io","NLBMS.1032","2003","5","11","0"
"Aglais io","NLBMS.1032","2003","5","31","0"
"Aglais io","NLBMS.1032","2003","6","6","0"
"Aglais io","NLBMS.1032","2003","6","14","0"
"Aglais io","NLBMS.1032","2003","6","29","0"
"Aglais io","NLBMS.1032","2003","7","12","2"
"Aglais io","NLBMS.1032","2003","7","19","17"
"Aglais io","NLBMS.1032","2003","7","25","15"
"Aglais io","NLBMS.1032","2003","8","1","7"
"Aglais io","NLBMS.1032","2003","8","25","0"
"Aglais io","NLBMS.1032","2003","9","7","0"
"Aglais io","NLBMS.1032","2003","9","14","0"
"Aglais io","NLBMS.1032","2003","9","21","0"
"Aglais io","NLBMS.1032","2003","9","27","0"
"Aglais io","NLBMS.1034","2003","4","1","0"
"Aglais io","NLBMS.1034","2003","4","12","0"
"Aglais io","NLBMS.1034","2003","4","16","0"
"Aglais io","NLBMS.1034","2003","4","23","0"
"Aglais io","NLBMS.1034","2003","4","30","0"
"Aglais io","NLBMS.1034","2003","5","5","0"
"Aglais io","NLBMS.1034","2003","5","12","0"
"Aglais io","NLBMS.1034","2003","5","19","0"
"Aglais io","NLBMS.1034","2003","5","26","0"
"Aglais io","NLBMS.1034","2003","6","2","0"
"Aglais io","NLBMS.1034","2003","6","9","0"
"Aglais io","NLBMS.1034","2003","6","16","0"
"Aglais io","NLBMS.1034","2003","6","23","0"
"Aglais io","NLBMS.1034","2003","6","30","0"
"Aglais io","NLBMS.1034","2003","7","7","0"
"Aglais io","NLBMS.1034","2003","7","14","0"
"Aglais io","NLBMS.1034","2003","7","21","0"
"Aglais io","NLBMS.1034","2003","7","28","9"
"Aglais io","NLBMS.1034","2003","8","4","1"
"Aglais io","NLBMS.1034","2003","8","11","0"
"Aglais io","NLBMS.1034","2003","8","18","0"
"Aglais io","NLBMS.1034","2003","8","25","0"
"Aglais io","NLBMS.1034","2003","9","1","0"
"Aglais io","NLBMS.1034","2003","9","8","0"
"Aglais io","NLBMS.1034","2003","9","15","0"
"Aglais io","NLBMS.1034","2003","9","22","0"
"Aglais io","NLBMS.1034","2003","9","29","0"
"Aglais io","NLBMS.1035","2003","4","22","0"
"Aglais io","NLBMS.1035","2003","5","3","0"
"Aglais io","NLBMS.1035","2003","5","10","0"
"Aglais io","NLBMS.1035","2003","5","31","0"
"Aglais io","NLBMS.1035","2003","6","21","0"
"Aglais io","NLBMS.1035","2003","6","26","0"
"Aglais io","NLBMS.1035","2003","7","8","1"
"Aglais io","NLBMS.1035","2003","7","17","2"
"Aglais io","NLBMS.1035","2003","7","24","1"
"Aglais io","NLBMS.1035","2003","7","29","0"
"Aglais io","NLBMS.1035","2003","8","4","2"
"Aglais io","NLBMS.1035","2003","8","12","1"
"Aglais io","NLBMS.1035","2003","8","21","0"
"Aglais io","NLBMS.1035","2003","8","28","0"
"Aglais io","NLBMS.1035","2003","9","5","0"
"Aglais io","NLBMS.1035","2003","9","8","0"
"Aglais io","NLBMS.1035","2003","9","15","0"
"Aglais io","NLBMS.1035","2003","9","22","0"
"Aglais io","NLBMS.1035","2003","9","27","0"
"Aglais io","NLBMS.1036","2003","4","20","0"
