"","site","var_bl","n_bl","sd_bl","se_bl"
"1","A-Frame",341.719696969697,12,18.485661929444,98.6459795164259
"2","Baboon Rock",360.083333333333,12,18.975861860093,103.947104715349
"3","Batsata Rock",655.333333333333,10,25.5994791613684,207.234595996368
"4","Betty's Bay",487.295454545455,12,22.0747696374267,140.67008092835
"5","Bordjiestif North",282.988888888889,10,16.8222735945201,89.4889441409205
"6","Buffels",206.628787878788,12,14.3745882681483,59.6485931520721
"7","Buffels South",260.265151515152,12,16.1327354008907,75.1320776439757
"8","Kommetjie",798.111111111111,9,28.2508603605467,266.037037037037
"9","Miller's Point",260.694444444444,9,16.1460349449778,86.8981481481482
"10","Olifantsbos",679.155555555556,10,26.0606131078215,214.767844111258
"11","Rocky Bank",567.654545454545,11,23.8255019979547,171.154285255679
"12","Roman Rock",200.018181818182,11,14.1427784334685,60.3077509399996
"13","Sea Point",470.9,10,21.7002304135233,148.911655017329
